Car_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,N_Photos,Price,N_Inquires,is_sold
XL3-1041186,21,1.33E+18,1.34E+18,36411,Silver,28,80000,42,1
XL3-1270040,13,1.33E+18,1.33E+18,59624,Silver,28,90000,31,0
XL3-1270040,15,1.33E+18,1.33E+18,59624,Silver,28,75000,31,1
XL3-1031218,0,1.33E+18,1.33E+18,55044,Black,28,110000,18,0
XL3-1031218,43,1.33E+18,1.33E+18,55044,Black,28,80000,18,1
XL3-1012787,30,1.33E+18,1.33E+18,42075,Black,28,110000,39,0
XL3-1012787,14,1.33E+18,1.33E+18,42075,Black,28,80000,39,1
XL3-1549817,63,1.33E+18,1.34E+18,27543,Brown,28,167000,124,0
XL3-1549817,7,1.33E+18,1.34E+18,27543,Brown,28,50000,124,1
XL3-1537956,8,1.33E+18,1.33E+18,40770,White,28,110000,40,0
XL3-1537956,8,1.33E+18,1.33E+18,40770,White,28,80000,40,1
XL3-1531421,12,1.33E+18,1.33E+18,58962,White,28,90000,118,0
XL3-1531421,12,1.33E+18,1.33E+18,58962,White,28,60000,118,1
XL3-1525487,10,1.33E+18,1.33E+18,43921,White,28,110000,6,0
XL3-1525487,11,1.33E+18,1.33E+18,43921,White,28,85000,6,1
XL3-1079799,16,1.33E+18,1.33E+18,47403,White,27,110000,30,0
XL3-1079799,7,1.33E+18,1.33E+18,47403,White,27,85000,30,1
XL3-1106129,13,1.33E+18,1.33E+18,18000,Silver,28,110000,28,0
XL3-1106129,9,1.33E+18,1.33E+18,18000,Silver,28,70000,28,1
XL3-1245173,12,1.33E+18,1.33E+18,43202,White,29,110000,20,0
XL3-1245173,13,1.33E+18,1.33E+18,43202,White,29,80000,20,1
XL3-1051810,15,1.33E+18,1.34E+18,49893,Black,28,110000,14,0
XL3-1051810,45,1.33E+18,1.34E+18,49893,Black,28,75000,14,1
XL3-1549241,5,1.33E+18,1.34E+18,58621,Black,28,110000,38,0
XL3-1549241,43,1.33E+18,1.34E+18,58621,Black,28,65000,38,1
XL3-1160122,61,1.33E+18,1.34E+18,49725,Brown,26,130000,155,0
XL3-1160122,57,1.33E+18,1.34E+18,49725,Brown,26,45000,155,1
XL3-1117090,11,1.33E+18,1.34E+18,52533,White,29,90000,12,0
XL3-1117090,17,1.33E+18,1.34E+18,52533,White,29,80000,12,1
XL3-1089322,19,1.33E+18,1.34E+18,56137,Black,27,110000,16,0
XL3-1089322,38,1.33E+18,1.34E+18,56137,Black,27,65000,16,1
XL3-1006459,20,1.33E+18,1.34E+18,65448,Brown,28,110000,63,0
XL3-1006459,50,1.33E+18,1.34E+18,65448,Brown,28,45000,63,1
XL3-1552874,34,1.33E+18,1.34E+18,36500,Black,28,110000,21,0
XL3-1552874,45,1.33E+18,1.34E+18,36500,Black,28,60000,21,1
